10:25:41.664 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:25:41.664 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:26:04.235 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:26:06.245 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:26:08.494 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:26:08.497 | INFO  | nukr.profile-state | Removing Cris from storage.
10:26:08.498 | INFO  | nukr.profile-state | Removing Ed from storage.
10:26:08.498 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:26:08.498 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:27:12.368 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:27:14.282 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:27:15.819 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:27:15.821 | INFO  | nukr.profile-state | Removing Cris from storage.
10:27:15.822 | INFO  | nukr.profile-state | Removing Ed from storage.
10:27:15.823 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:27:15.823 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:27:29.076 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:27:29.077 | INFO  | nukr.profile-state | Removing Cris from storage.
10:27:29.077 | INFO  | nukr.profile-state | Removing Ed from storage.
10:27:29.077 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:27:29.077 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:27:50.758 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
